person_id,first_name,last_name,email,dob,address,zip,insurance
PER1,Pansie,Kitson,pansie.kitson@seesaa.net,5/6/1965,"7 Shelley Avenue",55442,INS1
PER2,Tomi,Ancliff,tomi.ancliff@disqus.com,12/19/2004,"34 Logan Road",55440,INS4
PER3,Daune,Kelsell,daune.kelsell@meetup.com,1/15/1956,"41681 Lukken Terrace",55440,INS3
PER4,Devinne,Bygate,devinne.bygate@ed.gov,2/27/1974,"31665 Declaration Park",55441,INS2
PER5,Bert,Brazear,bert.brazear@harvard.edu,6/5/1968,"75 Merrick Parkway",55441,INS5
PER6,Randolph,Truran,randolph.truran@tuttocitta.it,8/5/1970,"9737 Sheridan Court",55448,INS3
PER7,Avigdor,Dyton,avigdor.dyton@dedecms.com,5/18/2016,"59 Hoepker Court",55448,INS5
PER8,Iris,Jonsson,iris.jonsson@illinois.edu,12/27/1954,"66 Daystar Junction",55449,INS1
PER9,Donnell,Guess,donnell.guess@xing.com,4/8/1990,"2790 Del Mar Alley",55446,INS4
PER10,Rubie,Ineson,rubie.ineson@yale.edu,10/5/1974,"8981 Monica Lane",55446,INS2
PER11,Heall,Staggs,heall.staggs@creativecommons.org,3/30/2022,"13853 Novick Crossing",55449,INS4
PER12,Jase,McIvor,jase.mcivor@army.mil,8/7/1982,"273 Charing Cross Place",55440,INS5
PER13,Demott,Jamme,demott.jamme@digg.com,11/20/1973,"74 Parkside Plaza",55448,INS3
PER14,Ewell,McCorry,ewell.mccorry@pen.io,4/6/1999,"15 Summer Ridge Point",55446,INS2
PER15,Sauncho,Dumphrey,sauncho.dumphrey@huffingtonpost.com,4/29/2021,"9687 Straubel Parkway",55444,INS1
PER16,Eldon,Philipet,eldon.philipet@infoseek.co.jp,10/28/2019,"3343 4th Circle",55447,INS5
PER17,Kenneth,Eat,kenneth.eat@nps.gov,3/23/1992,"2554 Bultman Trail",55445,INS4
PER18,Fanchon,Ibbett,fanchon.ibbett@latimes.com,10/22/1963,"25 Manufacturers Junction",55449,INS2
PER19,Monro,Cossar,monro.cossar@ezinearticles.com,5/16/2003,"55045 Merchant Center",55442,INS1
PER20,Skyler,Lloyd-Williams,skyler.lloyd-williams@so-net.ne.jp,6/15/1980,"04928 Little Fleur Circle",55445,INS3
